F191023_0000: Vm_Sec at Cursor 3;F191023_0000: Im_Prim Negative Peak
-110.2600;-54.3213
-105.1331;-50.0488
-100.1892;-42.7246
-95.2148;-36.0107
-90.3320;-33.5693
-85.2356;-29.9072
-80.1392;-26.2451
-75.2258;-25.0244
-70.2209;-15.8691
-65.1245;-31.7383
-60.2112;-57.9834
-55.1453;-133.0566
-50.1709;-1683.9600
-45.1660;-2077.6367
-40.1917;-2178.3447
-35.2173;-2047.7295
-30.0903;-2026.3672
-25.1770;-1895.7520
-20.1416;-1786.4990
-15.0757;-1666.2598
-10.1013;-1488.0371
-5.0964;-1335.4492
-0.1221;-1235.3516
4.8218;-1072.3877
9.8877;-927.1240
14.8621;-797.1191
19.8975;-695.8008
24.9329;-570.0684
29.9072;-446.7773
34.8511;-369.2627
39.8560;-261.2305
